year,zone_name,population,growth_rate_pct
2000,Pacific Palisades,18000,1.5
2000,Altadena,30000,1.5
2000,Eaton Canyon,10000,1.5
2000,Malibu,10000,1.5
2000,Topanga,7000,1.5
2000,Hollywood Hills,28000,1.5
2000,Ventura County WUI,35000,1.5
2001,Pacific Palisades,18270,1.5
2001,Altadena,30449,1.5
2001,Eaton Canyon,10149,1.5
2001,Malibu,10149,1.5
2001,Topanga,7104,1.5
2001,Hollywood Hills,28419,1.5
2001,Ventura County WUI,35525,1.5
2002,Pacific Palisades,18544,1.5
2002,Altadena,30906,1.5
2002,Eaton Canyon,10302,1.5
2002,Malibu,10302,1.5
2002,Topanga,7211,1.5
2002,Hollywood Hills,28846,1.5
2002,Ventura County WUI,36057,1.5
2003,Pacific Palisades,18822,1.5
2003,Altadena,31370,1.5
2003,Eaton Canyon,10456,1.5
2003,Malibu,10456,1.5
2003,Topanga,7319,1.5
2003,Hollywood Hills,29278,1.5
2003,Ventura County WUI,36598,1.5
2004,Pacific Palisades,19104,1.5
2004,Altadena,31840,1.5
2004,Eaton Canyon,10613,1.5
2004,Malibu,10613,1.5
2004,Topanga,7429,1.5
2004,Hollywood Hills,29718,1.5
2004,Ventura County WUI,37147,1.5
2005,Pacific Palisades,19391,1.5
2005,Altadena,32318,1.5
2005,Eaton Canyon,10772,1.5
2005,Malibu,10772,1.5
2005,Topanga,7540,1.5
2005,Hollywood Hills,30163,1.5
2005,Ventura County WUI,37704,1.5
2006,Pacific Palisades,19681,1.5
2006,Altadena,32803,1.5
2006,Eaton Canyon,10934,1.5
2006,Malibu,10934,1.5
2006,Topanga,7654,1.5
2006,Hollywood Hills,30616,1.5
2006,Ventura County WUI,38270,1.5
2007,Pacific Palisades,19977,1.5
2007,Altadena,33295,1.5
2007,Eaton Canyon,11098,1.5
2007,Malibu,11098,1.5
2007,Topanga,7768,1.5
2007,Hollywood Hills,31075,1.5
2007,Ventura County WUI,38844,1.5
2008,Pacific Palisades,20276,1.5
2008,Altadena,33794,1.5
